"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Duration","Starting Sequence Number","Info"
"8297","57.638773","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3833","173","48","54\302\265s","","QoS Data, SN=3833, FN=0, Flags=.p.....TC"
"8306","57.756011","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1205","173","112","54\302\265s","","QoS Data, SN=1205, FN=0, Flags=.p....F.C"
"8324","57.773377","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3834","88","48","47\302\265s","","QoS Data, SN=3834, FN=0, Flags=.p.....TC"
"8326","57.773804","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1206","88","112","47\302\265s","","QoS Data, SN=1206, FN=0, Flags=.p....F.C"
"8476","59.785620","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3841","173","48","54\302\265s","","QoS Data, SN=3841, FN=0, Flags=.p.....TC"
"8481","59.803908","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1207","173","112","54\302\265s","","QoS Data, SN=1207, FN=0, Flags=.p....F.C"
"8506","59.818279","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","174","3842","88","48","47\302\265s","","QoS Data, SN=3842, FN=0, Flags=.p.....TC"
"8508","59.818428","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1208","88","112","47\302\265s","","QoS Data, SN=1208, FN=0, Flags=.p....F.C"
"8642","61.832295","f8:ff:c2:53:b6:ab","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","259","3851","173","48","54\302\265s","","QoS Data, SN=3851, FN=0, Flags=.p.....TC"
"8647","61.851994","f8:ff:c2:53:b6:ab","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1209","173","112","54\302\265s","","QoS Data, SN=1209, FN=0, Flags=.p....F.C"
