"No.","Time","Source address","Transmitter address","Receiver address","Destination address","Protocol","Length","Sequence number","Data Length","Duration","Starting Sequence Number","Type/Subtype","Priority","Info"
"1899522","819.018962","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","186","1557","100","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1557, FN=0, Flags=.p....F.C"
"1911489","820.981810","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2379","173","44","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2379, FN=0, Flags=.p.....TC"
"1912148","821.173203","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1559","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1559, FN=0, Flags=.p....F.C"
"1912678","821.395399","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2380","88","44","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2380, FN=0, Flags=.p.....TC"
"1912790","821.445333","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1560","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1560, FN=0, Flags=.p....F.C"
"1920068","823.409490","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","236","2394","173","44","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2394, FN=0, Flags=.p.....TC"
"1920512","823.554270","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1561","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1561, FN=0, Flags=.p....F.C"
"1920624","823.583771","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1561","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1561, FN=0, Flags=.p..R.F.C"
"1921014","823.675072","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2395","88","44","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2395, FN=0, Flags=.p.....TC"
"1921120","823.701424","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1562","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1562, FN=0, Flags=.p....F.C"
"1921337","823.769135","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1562","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1562, FN=0, Flags=.p..R.F.C"
"1921367","823.778809","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","174","1562","88","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1562, FN=0, Flags=.p..R.F.C"
"1932027","825.827959","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","90:9c:4a:c8:5e:86","802.11","259","1563","173","112","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=1563, FN=0, Flags=.p....F.C"
"1933742","826.173963","20:16:b9:9c:1d:b9","20:16:b9:9c:1d:b9","78:44:76:db:82:78","90:9c:4a:c8:5e:86","802.11","151","2397","88","44","","QoS Data","Best Effort (Best Effort)","QoS Data, SN=2397, FN=0, Flags=.p.....TC"
